Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Japan",32558.188,32394.516,33210.81,33246.39,33195.402,33619.95,34313.56,34857.754,35333.113,35892.71,35496.227,33590.01,35011.402,34979,35537.438,36312.348,36440.215,37053.176,37384.56,38078.96,38403.68,38332.934,36826.64,37678.277,38268.79
"Jordan",7120.4937,7340.4937,7621.841,7982.7407,8394.055,8669.625,9288.616,9860.809,10404.562,10938.805,11378.256,11651.25,11601.088,11615,11704.657,10834.426,9765.811,9307.248,9149.412,9186.477,9174.501,9166.066,8896.383,9019.895,9151.479
"Kazakhstan",8088.648,8421.348,9309.42,10589.103,11640.18,12726.287,13929.7295,15233.841,16786.555,18181.06,18665.766,18750.541,19964.53,21302,22089.924,23110.025,23819.748,23782.562,23731.512,24396.78,25142.707,26026.064,25124.486,25936.383,26491.857
"Kenya",1889.9731,1920.834,1914.8864,1972.3811,1961.8949,1997.7769,2066.2102,2157.8416,2255.2585,2380.7764,2357.2324,2404.6296,2579.531,2712,2754.7646,2786.1372,2852.933,2921.3428,2975.4795,3020.9817,3120.4314,3207.2622,3129.5852,3292.7585,3403.9238
"Kuwait",33331.297,33351.195,35844.746,37225.87,39943.15,48809.71,55911.793,62959.6,68546.14,73096.87,75138.12,70072.73,68865.31,77126,80657.13,80098.64,79103.414,78261.195,79289.17,74427.02,75163.984,73748.44,66365.99,66418.2,71533.516
"Kyrgyzstan",3105.961,3144.4612,3246.383,3357.993,3299.246,3464.82,3632.1472,3554.1855,3594.5652,3831.4949,4046.7207,4075.834,3977.649,4142,4103.82,4509.7515,4644.326,4772.76,4925.4097,5104.14,5226.4805,5412.708,4899.061,5035.9272,5304.841
"Laos",2050.8838,2167.7795,2262.2356,2365.1033,2486.9893,2625.3481,2784.6802,2948.6997,2896.1355,3389.364,3614.4768,3843.8298,4114.0103,4401,4670,4961,5251,5559,5859.663,6168.1704,6454.778,6706.0063,6824.144,6961.1216,7168.1904
"Latin America (MPD)",0,0,10132.75,0,0,0,0,0,0,0,0,0,13356.442,0,0,0,0,14328.678,14074.377,14102.67,14103.097,13957.887,12865.496,13610.789,14028.038
"Latvia",10429.767,10707.706,11309.74,12103.828,13015.475,14142.125,15371.182,17069.656,19128.69,21042.367,20342.2,17582.111,17140.227,18428,19970.031,20581.918,21168.535,22179.42,22913.023,23893.832,25039.865,25858.602,25453.064,26738.615,27220.303
"Lebanon",6994.1567,7147.5547,7405.707,7836.8267,8248.101,8671.1875,9491.61,9933.082,10236.868,11276.507,12479.107,14039.346,15622.367,16230,16284.763,15145.569,13586.273,12982.721,13073.557,13209.284,13236.691,12854.797,10182.637,10573.861,10341.159
"Lesotho",1922.6793,1923.9032,1967.4332,1997.3577,1959.028,2003.09,2004.0602,2013.8077,2056.3296,2106.84,2177.8574,2199.3948,2313.882,2346,2456,2559,2644,2710,2774.5996,2654.4136,2582.512,2514.2244,2297.383,2311.8909,2312.9583
"Liberia",772.67645,848.42114,971.93304,1097.2496,1342.7588,851.91095,760.8758,755.2236,769.29297,768.20703,811.158,838.452,854.235,820,853,900,884,865,843.52625,848.2952,842.37573,807.3494,768.40546,790.2841,811.2146
"Libya",8545.48,9064.067,9770.98,10354.482,10787.675,12870.574,14193.259,16538.557,18657.062,20731.719,25140.6,26403.787,29157.143,12893,25302.516,20190.09,15154.099,14720.548,14219.172,18455.953,19504.555,16971.502,11741.864,14797.098,12755.204
"Lithuania",10382.117,10336.3955,10806.874,11606.729,12490.621,13917.508,14995.767,16417.95,17916.059,20138.473,20879.803,17983.35,18663.762,20243,21305.004,22285.684,23273.172,23968.848,24886.84,26318.023,27631.46,28986.053,28971.844,30557.03,30863.32
"Luxembourg",44142.56,47061.11,50063.824,50527.664,51709.734,51717.03,52624.164,53262.094,54920.81,58369.703,56383.19,52731.39,54086.336,54031,53675.46,53973.395,54100.086,54251.45,55516.098,55037.188,54625.96,54751.6,53489.332,55346.676,55484.777
"Madagascar",1174.2272,1206.8938,1238.7764,1290.1064,1110.8217,1198.4432,1239.897,1276.4868,1322.4795,1384.185,1458.7854,1367.6863,1349.6199,1347,1350.6381,1345.351,1354.1407,1360.7545,1379.3699,1398.0183,1407.4424,1434.2703,1300.5428,1343.4438,1367.0938
"Malawi",986.0287,989.83594,967.0872,899.2305,886.1978,905.7955,922.7613,920.0499,929.4762,982.39166,1017.8208,1061.9495,1091.5876,1102,1089.3064,1112.7039,1142.9807,1144.3241,1138.7363,1153.043,1172.6713,1205.477,1186.6827,1211.2092,1190.0509
"Malaysia",12129.636,12636.607,13474.701,13307.215,13809.872,14362.155,15087.251,15651.118,16353.924,17209.584,17865.64,17430.445,18574.299,19390,20162.178,20819.164,21769.006,22550.342,23251.902,24301.559,25175.799,25986.412,24279.316,24764.65,26628.707
